chrom,start,end,strand,name
Chr1,72769,74007,+,KY21.Chr1.9.v1.nonSL1-2
Chr1,72769,74007,+,KY21.Chr1.9.v2.SL1-2
Chr1,72769,74007,+,KY21.Chr1.9.v2.nonSL1-2
Chr1,72769,74002,+,KY21.Chr1.9.v1.SL1-1
Chr1,72769,74002,+,KY21.Chr1.9.v1.nonSL1-1
Chr1,72769,74002,+,KY21.Chr1.9.v2.SL1-1
Chr1,72769,74002,+,KY21.Chr1.9.v2.nonSL1-1
Chr1,72769,73991,+,KY21.Chr1.9.v2.SL1-3
Chr1,72769,73991,+,KY21.Chr1.9.v2.nonSL1-3
Chr1,72790,74007,+,KY21.Chr1.9.v1.nonSL4-2
Chr1,72790,74007,+,KY21.Chr1.9.v2.nonSL4-2
Chr1,72790,74002,+,KY21.Chr1.9.v1.nonSL4-1
Chr1,72790,74002,+,KY21.Chr1.9.v2.nonSL4-1
Chr1,72790,73991,+,KY21.Chr1.9.v2.nonSL4-3
Chr1,72794,74007,+,KY21.Chr1.9.v1.nonSL5-2
Chr1,72794,74007,+,KY21.Chr1.9.v2.nonSL5-2
Chr1,72794,74002,+,KY21.Chr1.9.v1.nonSL5-1
Chr1,72794,74002,+,KY21.Chr1.9.v2.nonSL5-1
Chr1,72794,73991,+,KY21.Chr1.9.v2.nonSL5-3
Chr1,73938,75055,+,KY21.Chr1.10.v1.nonSL2-1
Chr1,73939,75055,+,KY21.Chr1.10.v1.SL1-1
Chr1,74853,78379,-,KY21.Chr1.11.v1.nonSL4-1
Chr1,74853,78341,-,KY21.Chr1.11.v1.nonSL3-1
Chr1,74853,78340,-,KY21.Chr1.11.v1.nonSL2-1
Chr1,14544347,14552535,-,KY21.Chr1.2113.v1.nonSL7-1
Chr1,14544347,14552524,-,KY21.Chr1.2113.v1.nonSL9-1
Chr1,14555543,14562991,+,KY21.Chr1.2114.v1.ND1-1
Chr1,14556228,14562991,+,KY21.Chr1.2114.v2.ND2-1
Chr1,14564038,14568005,-,KY21.Chr1.2115.v1.SL1-1
Chr1,14564038,14567978,-,KY21.Chr1.2115.v1.nonSL2-1
Chr1,14568339,14572335,+,KY21.Chr1.2116.v1.SL1-1
Chr1,14568342,14572335,+,KY21.Chr1.2116.v1.SL2-1
Chr1,14572331,14596485,-,KY21.Chr1.2117.v1.SL1-1
Chr1,14597685,14599219,+,KY21.Chr1.2118.v1.SL2-1
Chr1,14597752,14599219,+,KY21.Chr1.2118.v1.SL1-1
Chr1,14597753,14599219,+,KY21.Chr1.2118.v1.nonSL3-1
Chr1,14597773,14599219,+,KY21.Chr1.2118.v1.nonSL4-1
Chr1,14599220,14606396,+,KY21.Chr1.2119.v1.SL1-1
Chr1,14614188,14616805,+,KY21.Chr1.2120.v1.SL1-1
Chr1,14618279,14620910,+,KY21.Chr1.2121.v1.SL2-1
Chr1,14618292,14620910,+,KY21.Chr1.2121.v1.SL3-1
Chr1,14618307,14620910,+,KY21.Chr1.2121.v1.SL1-1
Chr1,14620911,14643309,+,KY21.Chr1.2122.v1.SL1-1
Chr1,14636224,14637601,-,KY21.Chr1.2123.v1.ND1-1
Chr1,14644325,14649431,+,KY21.Chr1.2124.v1.SL2-1
Chr1,14644330,14649431,+,KY21.Chr1.2124.v1.SL1-1
Chr1,14644349,14649431,+,KY21.Chr1.2124.v1.nonSL3-1
Chr1,14649137,14652678,-,KY21.Chr1.2125.v1.nonSL6-1
Chr1,14649137,14652667,-,KY21.Chr1.2125.v1.nonSL5-1
Chr1,14649137,14652658,-,KY21.Chr1.2125.v1.nonSL3-1
Chr1,14649137,14652657,-,KY21.Chr1.2125.v1.SL1-1
Chr1,14649137,14652635,-,KY21.Chr1.2125.v1.nonSL7-1
Chr1,14649137,14652627,-,KY21.Chr1.2125.v1.nonSL4-1
Chr1,14649137,14652626,-,KY21.Chr1.2125.v1.SL2-1
Chr1,14652975,14656427,+,KY21.Chr1.2126.v1.nonSL1-1
Chr1,14656428,14670865,+,KY21.Chr1.2127.v1.SL1-1
Chr1,14656428,14663106,+,KY21.Chr1.2127.v2.SL1-2
Chr1,14656547,14658200,+,KY21.Chr1.2128.v1.SL1-1
Chr1,14663800,14669871,-,KY21.Chr1.2129.v1.SL1-1
Chr1,14663800,14669826,-,KY21.Chr1.2129.v1.nonSL4-1
Chr1,14663800,14669819,-,KY21.Chr1.2129.v1.SL3-1
Chr1,14663800,14669811,-,KY21.Chr1.2129.v1.SL2-1
Chr1,14670870,14679326,-,KY21.Chr1.2130.v1.SL2-1
Chr1,14670870,14679293,-,KY21.Chr1.2130.v1.SL1-1
Chr1,14670870,14679290,-,KY21.Chr1.2130.v1.SL3-1
Chr1,14679664,14687007,-,KY21.Chr1.2131.v1.SL1-1
Chr1,14679664,14686981,-,KY21.Chr1.2131.v1.SL5-1
Chr1,14679664,14686978,-,KY21.Chr1.2131.v1.SL2-1
Chr1,14679664,14686967,-,KY21.Chr1.2131.v1.SL6-1
Chr1,14679664,14686964,-,KY21.Chr1.2131.v1.SL4-1
Chr1,14679664,14686958,-,KY21.Chr1.2131.v1.SL3-1
Chr1,14689034,14692470,+,KY21.Chr1.2132.v1.SL1-1
Chr1,14689034,14692470,+,KY21.Chr1.2132.v2.SL1-1
Chr1,14689042,14692470,+,KY21.Chr1.2132.v1.SL2-1
Chr1,14689042,14692470,+,KY21.Chr1.2132.v2.SL2-1
Chr1,14689499,14690928,-,KY21.Chr1.2133.v1.nonSL2-1
Chr1,14689499,14690918,-,KY21.Chr1.2133.v1.nonSL5-1
Chr1,14689499,14690902,-,KY21.Chr1.2133.v1.nonSL4-1
Chr1,14689499,14690901,-,KY21.Chr1.2133.v1.nonSL1-1
Chr1,14689499,14690896,-,KY21.Chr1.2133.v1.nonSL3-1
Chr1,14693460,14703002,+,KY21.Chr1.2134.v1.SL1-1
Chr1,14693467,14703002,+,KY21.Chr1.2134.v1.SL2-1
Chr1,14703844,14711102,+,KY21.Chr1.2135.v1.ND1-1
Chr1,14726687,14739002,-,KY21.Chr1.2136.v2.nonSL2-1
Chr1,14726687,14735227,-,KY21.Chr1.2136.v1.SL1-1
Chr1,14726687,14731924,-,KY21.Chr1.2136.v3.ND3-1
Chr1,14745496,14759511,-,KY21.Chr1.2137.v1.SL1-1
Chr1,14745496,14759474,-,KY21.Chr1.2137.v1.SL2-1
Chr1,14760614,14795200,-,KY21.Chr1.2138.v1.SL1-1
Chr1,14799190,14799522,-,KY21.Chr1.2139.v1.ND1-1
Chr1,14801783,14809852,+,KY21.Chr1.2140.v1.SL1-1
Chr1,14801836,14809852,+,KY21.Chr1.2140.v2.ND2-1
Chr1,14809625,14837449,-,KY21.Chr1.2141.v1.ND1-1
Chr1,14830082,14833728,+,KY21.Chr1.2142.v1.SL1-1
Chr1,14830108,14833728,+,KY21.Chr1.2142.v1.nonSL2-1
Chr1,14837547,14856179,+,KY21.Chr1.2143.v1.ND1-1
Chr1,14856757,14857867,+,KY21.Chr1.2144.v1.nonSL7-1
Chr1,14856767,14857867,+,KY21.Chr1.2144.v1.nonSL6-1
Chr1,14856769,14857867,+,KY21.Chr1.2144.v1.nonSL8-1
Chr1,14856788,14857867,+,KY21.Chr1.2144.v1.nonSL9-1
Chr1,14856797,14857867,+,KY21.Chr1.2144.v1.nonSL1-1
Chr1,14856799,14857867,+,KY21.Chr1.2144.v1.nonSL10-1
Chr1,14856828,14857867,+,KY21.Chr1.2144.v1.nonSL11-1
Chr1,14856841,14857867,+,KY21.Chr1.2144.v1.nonSL12-1
Chr1,14856849,14857867,+,KY21.Chr1.2144.v1.nonSL4-1
Chr1,14856852,14857867,+,KY21.Chr1.2144.v1.nonSL2-1
Chr1,14856854,14857867,+,KY21.Chr1.2144.v1.nonSL3-1
Chr1,14856875,14857867,+,KY21.Chr1.2144.v1.nonSL13-1
Chr1,14856892,14857867,+,KY21.Chr1.2144.v1.nonSL5-1
Chr1,14859168,14863192,+,KY21.Chr1.2145.v1.SL1-1
Chr1,14859168,14863192,+,KY21.Chr1.2145.v2.SL1-1
Chr1,14859173,14863192,+,KY21.Chr1.2145.v1.nonSL3-1
Chr1,14859173,14863192,+,KY21.Chr1.2145.v2.nonSL3-1
Chr1,14859174,14863192,+,KY21.Chr1.2145.v1.SL2-1
Chr1,14859174,14863192,+,KY21.Chr1.2145.v2.SL2-1
Chr1,14865906,14875305,+,KY21.Chr1.2146.v1.ND1-1
Chr1,14876235,14886422,+,KY21.Chr1.2147.v1.ND1-1
Chr1,14887108,14895728,-,KY21.Chr1.2148.v1.ND1-1
Chr1,14900083,14901204,-,KY21.Chr1.2149.v1.SL1-1
Chr1,14901343,14901558,-,KY21.Chr1.2150.v1.ND1-1
Chr1,14902351,14906432,-,KY21.Chr1.2151.v1.SL1-1
Chr1,14902351,14906416,-,KY21.Chr1.2151.v1.nonSL4-1
Chr1,14902351,14906415,-,KY21.Chr1.2151.v1.SL3-1
Chr1,14902351,14906410,-,KY21.Chr1.2151.v1.SL2-1
Chr1,14902351,14906410,-,KY21.Chr1.2151.v1.nonSL2-1
Chr1,14907934,14912103,-,KY21.Chr1.2152.v1.nonSL3-1
Chr1,14907934,14912082,-,KY21.Chr1.2152.v1.SL1-1
Chr1,14907934,14912077,-,KY21.Chr1.2152.v1.SL2-1
Chr1,14912518,14916269,-,KY21.Chr1.2153.v1.ND1-1
Chr1,14912518,14916269,-,KY21.Chr1.2153.v2.ND1-1
Chr1,14915716,14917326,+,KY21.Chr1.2154.v1.ND1-1
Chr1,14917552,14918360,+,KY21.Chr1.2155.v1.ND1-1
Chr1,14923400,14924374,+,KY21.Chr1.2156.v1.ND1-1
Chr1,14924749,14929162,+,KY21.Chr1.2157.v1.ND1-1
Chr1,14925469,14929162,+,KY21.Chr1.2157.v2.SL2-1
Chr1,14930710,14931360,+,KY21.Chr1.2158.v1.nonSL8-1
Chr1,14930718,14931360,+,KY21.Chr1.2158.v1.nonSL20-1
Chr1,14930719,14931360,+,KY21.Chr1.2158.v1.nonSL13-1
Chr1,14930729,14931360,+,KY21.Chr1.2158.v1.nonSL14-1
Chr1,14930730,14931360,+,KY21.Chr1.2158.v1.nonSL24-1
Chr1,14930731,14931360,+,KY21.Chr1.2158.v1.nonSL19-1
Chr1,14930732,14931360,+,KY21.Chr1.2158.v1.nonSL2-1
Chr1,14930733,14931360,+,KY21.Chr1.2158.v1.nonSL4-1
Chr1,14930734,14931360,+,KY21.Chr1.2158.v1.nonSL5-1
Chr1,14930735,14931360,+,KY21.Chr1.2158.v1.nonSL9-1
Chr1,14930736,14931360,+,KY21.Chr1.2158.v1.nonSL17-1
Chr1,14930737,14931360,+,KY21.Chr1.2158.v1.nonSL10-1
Chr1,14930740,14931360,+,KY21.Chr1.2158.v1.nonSL3-1
Chr1,14930743,14931360,+,KY21.Chr1.2158.v1.nonSL23-1
Chr1,14930745,14931360,+,KY21.Chr1.2158.v1.nonSL6-1
Chr1,14930746,14931360,+,KY21.Chr1.2158.v1.nonSL15-1
Chr1,14930748,14931360,+,KY21.Chr1.2158.v1.nonSL1-1
Chr1,14930751,14931360,+,KY21.Chr1.2158.v1.nonSL11-1
Chr1,14930752,14931360,+,KY21.Chr1.2158.v1.nonSL16-1
Chr1,14930757,14931360,+,KY21.Chr1.2158.v1.nonSL7-1
Chr1,14930760,14931360,+,KY21.Chr1.2158.v1.nonSL22-1
Chr1,14930761,14931360,+,KY21.Chr1.2158.v1.nonSL21-1
Chr1,14930765,14931360,+,KY21.Chr1.2158.v1.nonSL12-1
Chr1,14930768,14931360,+,KY21.Chr1.2158.v1.nonSL18-1
Chr1,14931346,14933652,+,KY21.Chr1.2159.v1.ND1-1
Chr1,14931346,14933649,+,KY21.Chr1.2159.v1.ND1-2
Chr1,14935611,14939005,-,KY21.Chr1.2160.v1.ND1-1
Chr1,14935614,14939005,-,KY21.Chr1.2160.v2.ND1-2
Chr1,14939053,14939514,-,KY21.Chr1.2161.v1.ND1-1
Chr1,14940405,14942778,-,KY21.Chr1.2162.v1.ND1-1
Chr1,14944135,14952875,-,KY21.Chr1.2163.v1.SL4-1
Chr1,14944135,14952866,-,KY21.Chr1.2163.v1.SL1-1
Chr1,14944135,14952854,-,KY21.Chr1.2163.v1.SL3-1
Chr1,14944135,14952824,-,KY21.Chr1.2163.v1.SL2-1
Chr1,14951005,14952357,+,KY21.Chr1.2164.v1.SL1-1
Chr1,14951955,14952875,-,KY21.Chr1.2165.v1.SL4-1
Chr1,14951955,14952866,-,KY21.Chr1.2165.v1.SL1-1
Chr1,14951955,14952854,-,KY21.Chr1.2165.v1.SL3-1
Chr1,14951955,14952824,-,KY21.Chr1.2165.v1.SL2-1
Chr1,14953766,14959911,+,KY21.Chr1.2166.v1.nonSL3-1
Chr1,14953779,14959911,+,KY21.Chr1.2166.v1.nonSL10-1
Chr1,14953781,14959911,+,KY21.Chr1.2166.v1.nonSL9-1
Chr1,14953787,14959911,+,KY21.Chr1.2166.v1.nonSL5-1
Chr1,14953792,14959911,+,KY21.Chr1.2166.v1.nonSL8-1
Chr1,14953813,14959911,+,KY21.Chr1.2166.v1.nonSL7-1
Chr1,14953820,14959911,+,KY21.Chr1.2166.v1.nonSL2-1
Chr1,14953826,14959911,+,KY21.Chr1.2166.v1.nonSL6-1
Chr1,14953836,14959911,+,KY21.Chr1.2166.v1.nonSL4-1
Chr1,14953837,14959911,+,KY21.Chr1.2166.v1.SL1-1
Chr1,14959893,14970260,-,KY21.Chr1.2167.v1.SL1-1
Chr1,14971935,14977182,+,KY21.Chr1.2168.v1.nonSL8-1
Chr1,14971935,14977182,+,KY21.Chr1.2168.v2.nonSL8-1
Chr1,14971936,14977182,+,KY21.Chr1.2168.v1.nonSL7-1
Chr1,14971936,14977182,+,KY21.Chr1.2168.v2.nonSL7-1
Chr1,14971943,14977182,+,KY21.Chr1.2168.v1.nonSL3-1
Chr1,14971943,14977182,+,KY21.Chr1.2168.v2.nonSL3-1
Chr1,14971951,14977182,+,KY21.Chr1.2168.v1.nonSL4-1
Chr1,14971951,14977182,+,KY21.Chr1.2168.v2.nonSL4-1
Chr1,14971957,14977182,+,KY21.Chr1.2168.v1.nonSL6-1
Chr1,14971957,14977182,+,KY21.Chr1.2168.v2.nonSL6-1
Chr1,14971971,14977182,+,KY21.Chr1.2168.v1.nonSL5-1
Chr1,14971971,14977182,+,KY21.Chr1.2168.v2.nonSL5-1
Chr1,14971987,14977182,+,KY21.Chr1.2168.v1.nonSL2-1
Chr1,14971987,14977182,+,KY21.Chr1.2168.v2.nonSL2-1
Chr1,14971988,14977182,+,KY21.Chr1.2168.v1.SL1-1
Chr1,14971988,14977182,+,KY21.Chr1.2168.v2.SL1-1
Chr1,14977742,14978521,+,KY21.Chr1.2169.v1.nonSL2-1
Chr1,14977743,14978521,+,KY21.Chr1.2169.v1.nonSL11-1
Chr1,14977752,14978521,+,KY21.Chr1.2169.v1.nonSL3-1
Chr1,14977758,14978521,+,KY21.Chr1.2169.v1.nonSL7-1
Chr1,14977759,14978521,+,KY21.Chr1.2169.v1.nonSL10-1
Chr1,14977764,14978521,+,KY21.Chr1.2169.v1.nonSL4-1
Chr1,14977769,14978521,+,KY21.Chr1.2169.v1.nonSL9-1
Chr1,14977772,14978521,+,KY21.Chr1.2169.v1.nonSL6-1
Chr1,14977773,14978521,+,KY21.Chr1.2169.v1.nonSL8-1
Chr1,14977790,14978521,+,KY21.Chr1.2169.v1.nonSL1-1
Chr1,14977796,14978521,+,KY21.Chr1.2169.v1.nonSL5-1
Chr1,14978597,14989577,+,KY21.Chr1.2170.v1.SL1-1
Chr1,14989992,15002749,+,KY21.Chr1.2171.v1.nonSL1-1
Chr1,14990278,15002749,+,KY21.Chr1.2171.v2.ND2-1
Chr1,15005879,15024520,+,KY21.Chr1.2172.v1.SL2-1
Chr1,15005882,15024520,+,KY21.Chr1.2172.v1.SL1-1
Chr1,15024165,15036737,-,KY21.Chr1.2173.v1.SL1-1
Chr1,15024165,15036737,-,KY21.Chr1.2173.v3.SL1-1
Chr1,15034073,15036737,-,KY21.Chr1.2173.v2.SL1-2
Chr1,15038544,15043122,-,KY21.Chr1.2174.v2.SL2-1
Chr1,15038544,15043116,-,KY21.Chr1.2174.v2.SL3-1
Chr1,15038544,15042657,-,KY21.Chr1.2174.v1.SL1-1
Chr1,15044623,15046642,-,KY21.Chr1.2175.v1.ND1-1
Chr1,15049716,15053271,+,KY21.Chr1.2176.v1.nonSL3-1
Chr1,15049718,15053271,+,KY21.Chr1.2176.v1.nonSL2-1
Chr1,15049726,15053271,+,KY21.Chr1.2176.v1.nonSL1-1
Chr1,15055428,15124198,+,KY21.Chr1.2177.v1.nonSL6-1
Chr1,15055429,15124198,+,KY21.Chr1.2177.v1.nonSL3-1
Chr1,15055432,15124198,+,KY21.Chr1.2177.v1.nonSL4-1
Chr1,15055433,15124198,+,KY21.Chr1.2177.v1.SL1-1
Chr1,15055433,15124198,+,KY21.Chr1.2177.v1.nonSL1-1
Chr1,15055435,15124198,+,KY21.Chr1.2177.v1.nonSL7-1
Chr1,15055440,15124198,+,KY21.Chr1.2177.v1.nonSL2-1
Chr1,15055460,15124198,+,KY21.Chr1.2177.v1.nonSL5-1
Chr1,15088174,15089879,-,KY21.Chr1.2178.v1.ND1-1
Chr1,15091808,15093236,-,KY21.Chr1.2179.v1.nonSL1-1
Chr1,15093489,15095282,-,KY21.Chr1.2180.v1.SL1-1
Chr1,15098427,15100268,-,KY21.Chr1.2181.v1.ND1-1
Chr1,15102869,15104555,-,KY21.Chr1.2182.v1.nonSL1-1
Chr1,15159403,15159997,+,KY21.Chr1.2183.v1.ND1-1
Chr1,15160951,15168142,-,KY21.Chr1.2184.v1.SL1-1
Chr1,15171402,15173519,+,KY21.Chr1.2185.v1.ND1-1
Chr1,15173516,15174442,+,KY21.Chr1.2186.v1.ND1-1
Chr1,15178175,15196219,+,KY21.Chr1.2187.v1.SL1-1
Chr1,15178175,15196209,+,KY21.Chr1.2187.v1.SL1-2
Chr1,15178175,15196203,+,KY21.Chr1.2187.v1.SL1-3
Chr1,15178216,15196219,+,KY21.Chr1.2187.v1.nonSL2-1
Chr1,15178216,15196209,+,KY21.Chr1.2187.v1.nonSL2-2
Chr1,15178216,15196203,+,KY21.Chr1.2187.v1.nonSL2-3
Chr1,15197068,15200816,+,KY21.Chr1.2188.v1.nonSL1-1
Chr1,15205364,15209744,+,KY21.Chr1.2189.v1.ND1-1
Chr1,15210896,15213456,+,KY21.Chr1.2190.v1.nonSL4-1
Chr1,15210900,15213456,+,KY21.Chr1.2190.v1.nonSL5-1
Chr1,15210940,15213456,+,KY21.Chr1.2190.v1.nonSL3-1
Chr1,15210944,15213456,+,KY21.Chr1.2190.v1.nonSL2-1
Chr1,15210953,15213456,+,KY21.Chr1.2190.v1.SL1-1
Chr1,15214469,15215392,+,KY21.Chr1.2191.v1.nonSL2-1
Chr1,15214476,15215392,+,KY21.Chr1.2191.v1.nonSL4-1
Chr1,15214480,15215392,+,KY21.Chr1.2191.v1.SL1-1
Chr1,15214485,15215392,+,KY21.Chr1.2191.v1.nonSL3-1
Chr1,15216901,15226256,+,KY21.Chr1.2192.v1.SL1-1
Chr1,15226170,15234990,-,KY21.Chr1.2193.v1.nonSL2-1
Chr1,15226170,15234976,-,KY21.Chr1.2193.v1.nonSL4-1
Chr1,15226170,15234975,-,KY21.Chr1.2193.v1.nonSL3-1
Chr1,15226170,15234968,-,KY21.Chr1.2193.v1.nonSL1-1
Chr1,15226182,15234990,-,KY21.Chr1.2193.v1.nonSL2-2
Chr1,15226182,15234976,-,KY21.Chr1.2193.v1.nonSL4-2
Chr1,15226182,15234975,-,KY21.Chr1.2193.v1.nonSL3-2
Chr1,15226182,15234968,-,KY21.Chr1.2193.v1.nonSL1-2
Chr1,15235673,15238765,+,KY21.Chr1.2194.v1.nonSL1-1
Chr1,15235677,15238765,+,KY21.Chr1.2194.v1.nonSL3-1
Chr1,15235679,15238765,+,KY21.Chr1.2194.v1.nonSL4-1
Chr1,15235707,15238765,+,KY21.Chr1.2194.v1.nonSL2-1
Chr1,15235730,15238765,+,KY21.Chr1.2194.v1.nonSL5-1
Chr1,15241730,15247927,+,KY21.Chr1.2195.v1.nonSL1-1
Chr1,15241741,15247927,+,KY21.Chr1.2195.v1.nonSL3-1
Chr1,15241771,15247927,+,KY21.Chr1.2195.v1.nonSL2-1
Chr1,15247697,15249566,-,KY21.Chr1.2196.v1.nonSL16-1
Chr1,15247697,15249564,-,KY21.Chr1.2196.v1.nonSL11-1
Chr1,15247697,15249561,-,KY21.Chr1.2196.v1.nonSL9-1
Chr1,15247697,15249559,-,KY21.Chr1.2196.v1.nonSL20-1
Chr1,15247697,15249554,-,KY21.Chr1.2196.v1.nonSL14-1
Chr1,15247697,15249552,-,KY21.Chr1.2196.v1.nonSL8-1
Chr1,15247697,15249550,-,KY21.Chr1.2196.v1.nonSL15-1
Chr1,15247697,15249549,-,KY21.Chr1.2196.v1.nonSL7-1
Chr1,15247697,15249545,-,KY21.Chr1.2196.v1.nonSL23-1
Chr1,15247697,15249542,-,KY21.Chr1.2196.v1.nonSL19-1
Chr1,15247697,15249540,-,KY21.Chr1.2196.v1.nonSL17-1
Chr1,15247697,15249536,-,KY21.Chr1.2196.v1.nonSL21-1
Chr1,15247697,15249535,-,KY21.Chr1.2196.v1.nonSL3-1
Chr1,15247697,15249530,-,KY21.Chr1.2196.v1.nonSL2-1
Chr1,15247697,15249529,-,KY21.Chr1.2196.v1.nonSL4-1
Chr1,15247697,15249528,-,KY21.Chr1.2196.v1.nonSL10-1
Chr1,15247697,15249527,-,KY21.Chr1.2196.v1.nonSL13-1
Chr1,15247697,15249525,-,KY21.Chr1.2196.v1.nonSL18-1
Chr1,15247697,15249524,-,KY21.Chr1.2196.v1.nonSL12-1
Chr1,15247697,15249522,-,KY21.Chr1.2196.v1.nonSL22-1
Chr1,15247697,15249521,-,KY21.Chr1.2196.v1.nonSL6-1
Chr1,15247697,15249518,-,KY21.Chr1.2196.v1.nonSL5-1
Chr1,15247697,15249514,-,KY21.Chr1.2196.v1.SL1-1
Chr1,15248111,15249287,+,KY21.Chr1.2197.v1.ND1-1
Chr1,15249928,15262109,+,KY21.Chr1.2198.v1.nonSL2-1
Chr1,15249928,15262109,+,KY21.Chr1.2198.v2.nonSL2-1
Chr1,15249929,15262109,+,KY21.Chr1.2198.v1.SL1-1
Chr1,15249929,15262109,+,KY21.Chr1.2198.v2.SL1-1
Chr1,15263108,15264217,+,KY21.Chr1.2199.v1.ND1-1
Chr1,15264297,15265677,+,KY21.Chr1.2200.v1.ND1-1
Chr1,15265735,15270245,+,KY21.Chr1.2201.v1.ND1-1
Chr1,15271388,15272775,-,KY21.Chr1.2202.v1.ND1-1
Chr1,15271665,15272061,+,KY21.Chr1.2203.v1.ND1-1
Chr1,15276810,15281248,+,KY21.Chr1.2204.v3.SL1-2
Chr1,15276810,15281248,+,KY21.Chr1.2204.v4.SL1-2
Chr1,15276810,15280794,+,KY21.Chr1.2204.v1.SL1-1
Chr1,15276810,15280794,+,KY21.Chr1.2204.v2.SL1-1
Chr1,15281912,15283505,-,KY21.Chr1.2205.v1.nonSL2-1
Chr1,15281912,15283504,-,KY21.Chr1.2205.v1.SL1-1
Chr1,15284796,15298556,+,KY21.Chr1.2206.v1.nonSL4-1
Chr1,15284817,15298556,+,KY21.Chr1.2206.v1.nonSL5-1
Chr1,15284819,15298556,+,KY21.Chr1.2206.v1.nonSL2-1
Chr1,15284829,15298556,+,KY21.Chr1.2206.v1.nonSL1-1
Chr1,15284860,15298556,+,KY21.Chr1.2206.v1.nonSL6-1
Chr1,15284863,15298556,+,KY21.Chr1.2206.v1.nonSL7-1
Chr1,15284874,15298556,+,KY21.Chr1.2206.v1.nonSL3-1
Chr1,15284881,15298556,+,KY21.Chr1.2206.v1.nonSL8-1
Chr1,15299124,15302438,+,KY21.Chr1.2207.v1.nonSL7-1
Chr1,15299124,15302438,+,KY21.Chr1.2207.v2.nonSL7-1
Chr1,15299164,15302438,+,KY21.Chr1.2207.v1.nonSL6-1
Chr1,15299164,15302438,+,KY21.Chr1.2207.v2.nonSL6-1
Chr1,15299196,15302438,+,KY21.Chr1.2207.v1.nonSL5-1
Chr1,15299196,15302438,+,KY21.Chr1.2207.v2.nonSL5-1
Chr1,15299200,15302438,+,KY21.Chr1.2207.v1.nonSL4-1
Chr1,15299200,15302438,+,KY21.Chr1.2207.v2.nonSL4-1
Chr1,15299236,15302438,+,KY21.Chr1.2207.v1.SL1-1
Chr1,15299236,15302438,+,KY21.Chr1.2207.v2.SL1-1
